,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Date
45,53033.0,King,Washington,US,3/22/20 23:45,47.49137892,-121.8346131,1040,75,0,0,"King, Washington, US",03-22-2020
46,53061.0,Snohomish,Washington,US,3/22/20 23:45,48.04615983,-121.7170703,480,10,0,0,"Snohomish, Washington, US",03-22-2020
47,,Unassigned,Washington,US,3/22/20 23:45,0.0,0.0,164,0,0,0,"Unassigned, Washington, US",03-22-2020
48,53053.0,Pierce,Washington,US,3/22/20 23:45,47.03892768,-122.14059579999999,107,1,0,0,"Pierce, Washington, US",03-22-2020
49,53057.0,Skagit,Washington,US,3/22/20 23:45,48.48171488,-121.766131,33,0,0,0,"Skagit, Washington, US",03-22-2020
50,53029.0,Island,Washington,US,3/22/20 23:45,48.14713305,-122.5216407,21,1,0,0,"Island, Washington, US",03-22-2020
51,53063.0,Spokane,Washington,US,3/22/20 23:45,47.62113146,-117.4046494,20,0,0,0,"Spokane, Washington, US",03-22-2020
52,53025.0,Grant,Washington,US,3/22/20 23:45,47.20753737,-119.4500749,18,1,0,0,"Grant, Washington, US",03-22-2020
53,53035.0,Kitsap,Washington,US,3/22/20 23:45,47.63479026,-122.6436061,18,0,0,0,"Kitsap, Washington, US",03-22-2020
54,53077.0,Yakima,Washington,US,3/22/20 23:45,46.45738486,-120.73801259999999,16,0,0,0,"Yakima, Washington, US",03-22-2020
55,53073.0,Whatcom,Washington,US,3/22/20 23:45,48.82227976,-121.74900179999999,14,2,0,0,"Whatcom, Washington, US",03-22-2020
56,53067.0,Thurston,Washington,US,3/22/20 23:45,46.9291895,-122.82906559999999,11,0,0,0,"Thurston, Washington, US",03-22-2020
57,53011.0,Clark,Washington,US,3/22/20 23:45,45.77568046,-122.48292040000001,10,3,0,0,"Clark, Washington, US",03-22-2020
58,53005.0,Benton,Washington,US,3/22/20 23:45,46.23946995,-119.51208340000001,7,2,0,0,"Benton, Washington, US",03-22-2020
59,53031.0,Jefferson,Washington,US,3/22/20 23:45,47.75003077,-123.56097040000002,6,0,0,0,"Jefferson, Washington, US",03-22-2020
60,53037.0,Kittitas,Washington,US,3/22/20 23:45,47.12521214,-120.67943899999999,4,0,0,0,"Kittitas, Washington, US",03-22-2020
61,53039.0,Klickitat,Washington,US,3/22/20 23:45,45.87325839,-120.7913598,4,0,0,0,"Klickitat, Washington, US",03-22-2020
62,53009.0,Clallam,Washington,US,3/22/20 23:45,48.04754642,-123.92263190000001,4,0,0,0,"Clallam, Washington, US",03-22-2020
63,53015.0,Cowlitz,Washington,US,3/22/20 23:45,46.19074721,-122.6782231,3,0,0,0,"Cowlitz, Washington, US",03-22-2020
64,53007.0,Chelan,Washington,US,3/22/20 23:45,47.87046092,-120.6173956,3,0,0,0,"Chelan, Washington, US",03-22-2020
65,53021.0,Franklin,Washington,US,3/22/20 23:45,46.53351425,-118.9018212,3,0,0,0,"Franklin, Washington, US",03-22-2020
66,53041.0,Lewis,Washington,US,3/22/20 23:45,46.57756476,-122.39257690000001,2,0,0,0,"Lewis, Washington, US",03-22-2020
67,53027.0,Grays Harbor,Washington,US,3/22/20 23:45,47.14003705,-123.7820567,1,0,0,0,"Grays Harbor, Washington, US",03-22-2020
68,53013.0,Columbia,Washington,US,3/22/20 23:45,46.29442881,-117.9051983,1,0,0,0,"Columbia, Washington, US",03-22-2020
69,53043.0,Lincoln,Washington,US,3/22/20 23:45,47.57705241,-118.41943880000001,1,0,0,0,"Lincoln, Washington, US",03-22-2020
70,53045.0,Mason,Washington,US,3/22/20 23:45,47.35007586,-123.1863685,1,0,0,0,"Mason, Washington, US",03-22-2020
71,53071.0,Walla Walla County,Washington,US,3/22/20 23:45,46.23040051,-118.4775539,1,0,0,0,"Walla Walla County, Washington, US",03-22-2020
72,53065.0,Stevens,Washington,US,3/22/20 23:45,48.40035475,-117.8542701,1,0,0,0,"Stevens, Washington, US",03-22-2020
73,53055.0,San Juan,Washington,US,3/22/20 23:45,48.60182783,-122.96745,1,0,0,0,"San Juan, Washington, US",03-22-2020
74,53075.0,Whitman,Washington,US,3/22/20 23:45,46.90022523,-117.52417630000001,1,0,0,0,"Whitman, Washington, US",03-22-2020
3059,53001.0,Adams,Washington,US,3/22/20 23:45,46.98299757,-118.56017340000001,0,0,0,0,"Adams, Washington, US",03-22-2020
3060,53003.0,Asotin,Washington,US,3/22/20 23:45,46.18894415,-117.2022851,0,0,0,0,"Asotin, Washington, US",03-22-2020
3061,53017.0,Douglas,Washington,US,3/22/20 23:45,47.7361335,-119.69293700000001,0,0,0,0,"Douglas, Washington, US",03-22-2020
3062,53019.0,Ferry,Washington,US,3/22/20 23:45,48.471143100000006,-118.5154041,0,0,0,0,"Ferry, Washington, US",03-22-2020
3063,53047.0,Okanogan,Washington,US,3/22/20 23:45,48.54855019,-119.73872240000001,0,0,0,0,"Okanogan, Washington, US",03-22-2020
3064,53049.0,Pacific,Washington,US,3/22/20 23:45,46.55418369,-123.7285716,0,0,0,0,"Pacific, Washington, US",03-22-2020
3065,53051.0,Pend Oreille,Washington,US,3/22/20 23:45,48.53234021,-117.2741804,0,0,0,0,"Pend Oreille, Washington, US",03-22-2020
3066,53059.0,Skamania,Washington,US,3/22/20 23:45,46.02408726,-121.91644029999999,0,0,0,0,"Skamania, Washington, US",03-22-2020
3067,53069.0,Wahkiakum,Washington,US,3/22/20 23:45,46.29180039999999,-123.4250831,0,0,0,0,"Wahkiakum, Washington, US",03-22-2020
3068,53071.0,Walla Walla,Washington,US,3/22/20 23:45,46.23040051,-118.4775539,0,0,0,0,"Walla Walla, Washington, US",03-22-2020
3416,53023.0,Garfield County,Washington,US,3/22/20 23:45,46.45197502,-117.54540320000001,1,2,0,0,"Garfield County,Washington,US",03-22-2020
18,53001.0,Adams,Washington,US,2020-03-23 23:19:34,46.98299757,-118.5601734,1,0,0,0,"Adams, Washington, US",03-23-2020
94,53003.0,Asotin,Washington,US,2020-03-23 23:19:34,46.18894415,-117.2022851,0,0,0,0,"Asotin, Washington, US",03-23-2020
188,53005.0,Benton,Washington,US,2020-03-23 23:19:34,46.23946995,-119.5120834,9,3,0,0,"Benton, Washington, US",03-23-2020
468,53007.0,Chelan,Washington,US,2020-03-23 23:19:34,47.87046092,-120.6173956,6,0,0,0,"Chelan, Washington, US",03-23-2020
516,53009.0,Clallam,Washington,US,2020-03-23 23:19:34,48.04754642,-123.9226319,4,0,0,0,"Clallam, Washington, US",03-23-2020
530,53011.0,Clark,Washington,US,2020-03-23 23:19:34,45.77568046,-122.4829204,13,3,0,0,"Clark, Washington, US",03-23-2020
